country_iso3,year,total_stations,dc_fast_chargers,ac_chargers,avg_power_kw,source
AUS,2011,1.0,0.0,1.0,7.7,OpenChargeMap + AFDC
AUS,2012,1.0,0.0,1.0,,OpenChargeMap + AFDC
AUS,2013,26.0,1.0,25.0,23.12307692307692,OpenChargeMap + AFDC
AUS,2014,2.0,1.0,1.0,71.0,OpenChargeMap + AFDC
AUS,2015,8.0,4.0,3.0,31.17142857142857,OpenChargeMap + AFDC
AUS,2016,24.0,8.0,16.0,25.8625,OpenChargeMap + AFDC
AUS,2017,17.0,15.0,1.0,123.875,OpenChargeMap + AFDC
AUS,2018,43.0,9.0,34.0,29.133333333333333,OpenChargeMap + AFDC
AUS,2019,43.0,18.0,23.0,66.15609756097561,OpenChargeMap + AFDC
AUS,2020,155.0,49.0,104.0,46.78684210526316,OpenChargeMap + AFDC
AUS,2021,213.0,91.0,120.0,59.85355450236967,OpenChargeMap + AFDC
AUS,2022,203.0,153.0,50.0,67.20344827586206,OpenChargeMap + AFDC
AUS,2023,306.0,232.0,69.0,75.71029900332226,OpenChargeMap + AFDC
AUS,2024,94.0,67.0,23.0,106.03555555555556,OpenChargeMap + AFDC
AUS,2025,132.0,96.0,31.0,113.4015748031496,OpenChargeMap + AFDC
AUS,2026,23.0,13.0,7.0,123.15,OpenChargeMap + AFDC
AUT,2011,2.0,0.0,2.0,10.25,OpenChargeMap + AFDC
AUT,2013,10.0,2.0,7.0,34.988888888888894,OpenChargeMap + AFDC
AUT,2014,8.0,1.0,2.0,44.86666666666667,OpenChargeMap + AFDC
AUT,2015,78.0,1.0,77.0,12.255844155844157,OpenChargeMap + AFDC
AUT,2016,129.0,29.0,100.0,26.28125,OpenChargeMap + AFDC
AUT,2017,385.0,25.0,359.0,21.03802083333333,OpenChargeMap + AFDC
AUT,2018,229.0,19.0,210.0,20.70175438596491,OpenChargeMap + AFDC
AUT,2019,112.0,26.0,86.0,62.73571428571428,OpenChargeMap + AFDC
AUT,2020,181.0,31.0,149.0,34.46277777777778,OpenChargeMap + AFDC
AUT,2021,64.0,36.0,25.0,59.19672131147541,OpenChargeMap + AFDC
AUT,2022,15.0,9.0,5.0,113.8,OpenChargeMap + AFDC
AUT,2023,27.0,20.0,7.0,138.88888888888889,OpenChargeMap + AFDC
AUT,2024,15.0,10.0,5.0,219.8,OpenChargeMap + AFDC
AUT,2025,65.0,26.0,38.0,104.34375,OpenChargeMap + AFDC
AUT,2026,6.0,4.0,1.0,194.0,OpenChargeMap + AFDC
BEL,2011,31.0,5.0,16.0,29.92105263157895,OpenChargeMap + AFDC
BEL,2012,87.0,10.0,55.0,16.9,OpenChargeMap + AFDC
BEL,2013,133.0,5.0,95.0,14.153763440860214,OpenChargeMap + AFDC
BEL,2014,115.0,7.0,80.0,16.12985074626866,OpenChargeMap + AFDC
BEL,2015,142.0,13.0,129.0,18.86911764705882,OpenChargeMap + AFDC
BEL,2016,124.0,9.0,113.0,19.26779661016949,OpenChargeMap + AFDC
BEL,2017,81.0,19.0,62.0,33.0875,OpenChargeMap + AFDC
BEL,2018,70.0,8.0,61.0,19.7536231884058,OpenChargeMap + AFDC
BEL,2019,103.0,6.0,85.0,20.670454545454547,OpenChargeMap + AFDC
BEL,2020,119.0,14.0,102.0,35.42413793103448,OpenChargeMap + AFDC
BEL,2021,70.0,25.0,40.0,78.02153846153846,OpenChargeMap + AFDC
BEL,2022,35.0,11.0,24.0,64.32857142857142,OpenChargeMap + AFDC
BEL,2023,67.0,16.0,45.0,71.6360655737705,OpenChargeMap + AFDC
BEL,2024,35.0,11.0,22.0,93.49090909090908,OpenChargeMap + AFDC
BEL,2025,51.0,28.0,20.0,132.61458333333334,OpenChargeMap + AFDC
BEL,2026,2.0,0.0,2.0,16.5,OpenChargeMap + AFDC
