country_iso,year,total_stations,dc_fast_chargers,ac_chargers,avg_power_kw,source,country_name,ev_stock,ev_sales,lithium_prod_t,cobalt_prod_t,mine_production_prod_t,lithium_import_t,lithium_export_t,cobalt_import_t,cobalt_export_t,nickel_import_t,nickel_export_t,graphite_import_t,graphite_export_t,battery_demand_mwh_est,prev_year_stations,prev_year_ev_stock
AUS,2012,1.0,0.0,1.0,64.67751404228912,OpenChargeMap + AFDC,Australia,300.0,250.0,12700.0,5880.0,,,,,,,,,,15.0,1.0,0.0
AUS,2013,26.0,1.0,25.0,23.12307692307692,OpenChargeMap + AFDC,Australia,590.0,290.0,10117.35,6400.0,,,,,,,,,,17.4,1.0,300.0
AUS,2014,2.0,1.0,1.0,71.0,OpenChargeMap + AFDC,Australia,1880.0,1320.0,12374.94,6201.256,,,,,,,,,,79.2,26.0,590.0
AUS,2015,8.0,4.0,3.0,31.17142857142857,OpenChargeMap + AFDC,Australia,3600.0,1760.0,11928.996,6030.0,,,,,,,,,,105.6,2.0,1880.0
AUS,2016,24.0,8.0,16.0,25.8625,OpenChargeMap + AFDC,Australia,5000.0,1370.0,14000.0,5470.0,,,,,,,,,,82.2,8.0,3600.0
AUS,2017,17.0,15.0,1.0,123.875,OpenChargeMap + AFDC,Australia,7300.0,2300.0,21300.0,5800.0,,170.311,3606126.0567,68.76939999999999,3296.214,9936.60799,172326.31,289.176459,1.2483,138.0,24.0,5000.0
AUS,2018,43.0,9.0,34.0,29.133333333333333,OpenChargeMap + AFDC,Australia,10900.0,3600.0,57000.0,4900.0,,2564.692673,3479523.4488699995,217.98424,2948.72156,2162.381,210275.16,433.429892,0.07812,216.0,17.0,7300.0
AUS,2019,43.0,18.0,23.0,66.15609756097561,OpenChargeMap + AFDC,Australia,20600.0,9200.0,45000.0,5700.0,,163.8854,2.58413,279.28345,3316.48073,1685.66627,335356.527,292.58701,0.0,552.0,43.0,10900.0
AUS,2020,155.0,49.0,104.0,46.78684210526316,OpenChargeMap + AFDC,Australia,27000.0,6900.0,39700.0,5600.0,,185.125,1585335.91238,114.0252,4144.16716,1309.92076,232035.5215,291.00343,0.3,414.0,43.0,20600.0
AUS,2021,213.0,91.0,120.0,59.85355450236967,OpenChargeMap + AFDC,Australia,48000.0,20400.0,55300.0,5295.0,,5800.126124,2016392.2473,0.0001,2593.88043,1589.34285,202918.22,345.605226,22.315,1224.0,155.0,27000.0
AUS,2022,203.0,153.0,50.0,67.20344827586206,OpenChargeMap + AFDC,Australia,88000.0,38900.0,74700.0,5790.0,,3147.76721,2708083.963,187.4919,3615.66382,3323.99616,113111.0,295.73548,0.0,2334.0,213.0,48000.0
AUS,2023,306.0,232.0,69.0,75.71029900332226,OpenChargeMap + AFDC,Australia,181000.0,98000.0,91700.0,5220.0,,3350.13683,3588351.4404,77.48518899999999,2959.5578700000005,4721.349545,0.0,303.3955,0.0,5880.0,203.0,88000.0
AUS,2024,94.0,67.0,23.0,106.03555555555556,OpenChargeMap + AFDC,Australia,302000.0,112000.0,88000.0,3600.0,,4970.72658,3987098.66246,193.055736,2809.98265,4250.1048,75796.16500000001,349.90863,1.26639,6720.0,306.0,181000.0
AUS,2025,132.0,96.0,31.0,113.4015748031496,OpenChargeMap + AFDC,,302000.0,112000.0,,,,0.0,11.3697,243.52617,2474.174,7884.261284,142646.66069,336.064007,25.96861,6720.0,94.0,302000.0
AUT,2014,8.0,1.0,2.0,44.86666666666667,OpenChargeMap + AFDC,Austria,4180.0,0.0,,,,,,,,,,,,0.0,10.0,2510.0
AUT,2015,78.0,1.0,77.0,12.255844155844157,OpenChargeMap + AFDC,Austria,6500.0,2800.0,,,,,,,,,,,,168.0,8.0,4180.0
AUT,2016,129.0,29.0,100.0,26.28125,OpenChargeMap + AFDC,Austria,11400.0,5000.0,,,,,,,,,,,,300.0,78.0,6500.0
AUT,2017,385.0,25.0,359.0,21.03802083333333,OpenChargeMap + AFDC,Austria,18900.0,7100.0,,,,,,,,,,,,426.0,129.0,11400.0
