country_iso,country_name,year,ev_stock,ev_sales,lithium_prod_t,cobalt_prod_t,mine_production_prod_t,lithium_import_t,lithium_export_t,cobalt_import_t,cobalt_export_t,nickel_import_t,nickel_export_t,graphite_import_t,graphite_export_t,battery_demand_mwh_est
ARG,,1995,,,8.0,,,,,,,,,,,
ARG,,1996,,,8.0,,,,,,,,,,,
ARG,,1997,,,8.0,,,,,,,,,,,
ARG,,1998,,,1130.0,,,,,,,,,,,
ARG,,1999,,,200.0,,,,,,,,,,,
ARG,,2000,,,200.0,,,,,,,,,,,
ARG,,2001,,,200.0,,,,,,,,,,,
ARG,,2002,,,946.0,,,,,,,,,,,
ARG,,2003,,,960.0,,,,,,,,,,,
ARG,,2004,,,1970.0,,,,,,,,,,,
ARG,,2005,,,1980.0,,,,,,,,,,,
ARG,,2006,,,2900.0,,,,,,,,,,,
ARG,,2007,,,3000.0,,,,,,,,,,,
ARG,,2008,,,3170.0,,,,,,,,,,,
ARG,,2009,,,2220.0,,,,,,,,,,,
ARG,,2010,,,2950.0,,,,,,,,,,,
ARG,,2011,,,2950.0,,,,,,,,,,,
ARG,,2012,,,2700.0,,,,,,,,,,,
ARG,,2013,,,2500.0,,,,,,,,,,,
ARG,,2014,,,3200.0,,,,,,,,,,,
ARG,,2015,,,3600.0,,,,,,,,,,,
ARG,,2016,,,5800.0,,,,,,,,,,,
ARG,,2017,,,5700.0,,,,,,,,,,,
ARG,,2018,,,6400.0,,,,,,,,,,,
ARG,,2019,,,6300.0,,,,,,,,,,,
ARG,,2020,,,5900.0,,,,,,,,,,,
ARG,,2021,,,5966.9123,,,,,,,,,,,
ARG,,2022,,,6377.9364000000005,,,,,,,,,,,
ARG,,2023,,,8630.0,,,,,,,,,,,
ARG,,2024,,,18000.0,,,,,,,,,,,
AUS,,1995,,,2233.4814,824.0,,,,,,,,,,
AUS,,1996,,,3882.1356,942.0,,,,,,,,,,
AUS,,1997,,,1576.6063,1219.0,,,,,,,,,,
AUS,,1998,,,1179.9951,1269.0,,,,,,,,,,
AUS,,1999,,,1505.7013,1010.3449,,,,,,,,,,
AUS,,2000,,,1825.6938,3598.48,,,,,,,,,,
AUS,,2001,,,2225.789,4311.9397,,,,,,,,,,
AUS,,2002,,,2204.2165,4854.0,,,,,,,,,,
AUS,,2003,,,3500.0,5120.0,,,,,,,,,,
AUS,,2004,,,3301.4052,4550.0,,,,,,,,,,
