country_iso,country_name,year,lithium_import_t,lithium_export_t,cobalt_import_t,cobalt_export_t,nickel_import_t,nickel_export_t,graphite_import_t,graphite_export_t
AUS,Australia,2017,170.311,3606126.0567,68.76939999999999,3296.214,9936.60799,172326.31,289.176459,1.2483
AUS,Australia,2018,2564.692673,3479523.4488699995,217.98424,2948.72156,2162.381,210275.16,433.429892,0.07812
AUS,Australia,2019,163.8854,2.58413,279.28345,3316.48073,1685.66627,335356.527,292.58701,0.0
AUS,Australia,2020,185.125,1585335.91238,114.0252,4144.16716,1309.92076,232035.5215,291.00343,0.3
AUS,Australia,2021,5800.126124,2016392.2473,0.0001,2593.88043,1589.34285,202918.22,345.605226,22.315
AUS,Australia,2022,3147.76721,2708083.963,187.4919,3615.66382,3323.99616,113111.0,295.73548,0.0
AUS,Australia,2023,3350.13683,3588351.4404,77.48518899999999,2959.5578700000005,4721.349545,0.0,303.3955,0.0
AUS,Australia,2024,4970.72658,3987098.66246,193.055736,2809.98265,4250.1048,75796.16500000001,349.90863,1.26639
AUS,Australia,2025,0.0,11.3697,243.52617,2474.174,7884.261284,142646.66069,336.064007,25.96861
BRA,Brazil,2017,19652.236182,7661.847898,104.269223,73.62,0.0,5.258,2020.227823,22475.251783
BRA,Brazil,2018,17758.371920999998,10782.986428,1593.104156,152.816,6442.149581,7.539,1380.753206,22081.809339000003
BRA,Brazil,2019,15164.414208000002,33643.40445,1137.937757,1.2,484.328,50.621,0.0,17860.732
BRA,Brazil,2020,15598.004489,74753.839038,1022.946259,1.102,4629.921086,53388.945,1708.164618,15799.113129
BRA,Brazil,2021,17625.764122,103918.071,0.039,0.011,453.983,119800.580981,930.95358,17645.511143
BRA,Brazil,2022,15208.651297,115722.04556,849.7815420000001,0.0,8294.281259,126386.815771,0.0,17164.206
BRA,Brazil,2023,11187.937482,483436.670884,1105.368,0.015,6704.506013,111353.106,196.373271,10587.820355
BRA,Brazil,2024,16630.181212,351692.050962,1752.571736,8.007,7291.022163,4.971,346.260144,11057.042475
BRA,Brazil,2025,11830.515505,118223.959615,534.946,79.488,5103.9980000000005,0.0,0.0,12826.675072
CAN,Canada,2017,102477.848,176228.594,0.0,8375.310000000001,0.0,137738.418,0.0,13859.127471000002
CAN,Canada,2018,100824.982082,220595.114,1267.9803980000002,9991.713026,16592.432007,123348.856,38897.403551,11422.034163
CAN,Canada,2019,108544.439172,311467.424,1908.859545,9117.579,5302.417114,119909.5,54450.734981,12396.26598
CAN,Canada,2020,76400.716,197920.759,1334.523943,8568.841,19273.210358,116823.735,36499.83008,6782.064057
CAN,Canada,2021,63777.045707000005,192620.764,0.0,9379.935,42089.032,105582.259525,16582.858523,12053.052433
CAN,Canada,2022,60306.28847100001,157297.967,1638.551,9021.162,51524.843,115672.247,52392.074380000005,9747.453919
CAN,Canada,2023,45448.651488,129330.183,569.638457,7191.169,106876.260093,99618.379,84901.58448800001,8231.756831
CAN,Canada,2024,39916.011044,125330.331,498.304374,6912.526,49390.082407,98198.69,9392.692788,12861.031396
CHL,Chile,2017,2921.947098,82478.481,15.0,0.002,95.998,5.5,87.03691,0.0
CHL,Chile,2018,2241.624822,83224.746,0.356464,0.0,106.004,3.5,0.0,0.0
CHL,Chile,2019,2374.477449,99101.991891,0.1044,0.0,103.494015,1.65,89.301906,0.0
CHL,Chile,2020,4329.378748,107512.2264,0.06238,0.0,0.001,4.35,63.011884,0.3
CHL,Chile,2021,0.0,148051.57499999998,0.0458999999999999,0.0,56.62178,6.55,95.148976,0.0
CHL,Chile,2022,17364.847187,212932.737,15.178208,0.0,114.6301,0.4,31.959016,0.0
CHL,Chile,2023,14199.724959,0.0,2.172923,0.0,47.65914000000001,0.0,36.829632,0.0
CHL,Chile,2024,13394.21939,251079.741,0.4175,0.0,60.53444,2.0,34.85878,0.00456
CHL,Chile,2025,0.0,242909.89842,1.309187,0.0,62.95474,0.511,36.632993,0.0
CHN,China,2017,30682.273808,1333807.063843,100985.889,4303.12,35264100.495058,18807.272,0.0,224384.69761
CHN,China,2018,5193328.069765001,1349593.68343,365601.02885,4947.675,47204391.368494,13273.332,63260.119782,213897.868372
CHN,China,2019,29302.009663,12932.972,392741.792223,3236.999055,56327597.96143101,37257.186,196584.989233,189664.293042
CHN,China,2020,2797974.252737,1147520.781769,363058.655064,1636.983,39388003.518404,29019.276,25058.456351,165204.199977
CHN,China,2021,81012.960071,1251494.735868,19080.617,2463.703,43778524.545494005,5434.293,59456.310861,188050.118961
CHN,China,2022,4426362.646689001,1136352.027132,386210.815398,4100.736079,40173915.301062,22514.597,163023.755272,185933.144392
CHN,China,2023,6547106.154469,1006249.16666,416597.08776,4882.935,21577276.106613,36626.118,81927.639915,168761.094494
CHN,China,2024,8403596.480669,780990.990096,640464.085451,9271.031397,38009148.496193,122669.423951,29910.207295,126257.972
DEU,Germany,2017,1498960.518997,247280.502771,9.003046,736.126753,67709.84014100001,7526.949581999999,43561.401076,13747.271132
DEU,Germany,2018,1159401.067522,249624.985121,4.471,538.871749,66137.813765,6643.063536,55092.316466,14867.2125
DEU,Germany,2019,1099300.329145,210183.374304,2430.446513,540.981268,63652.388095,4667.0853990000005,48150.355935,14994.21979
DEU,Germany,2020,1093346.417425,203276.220696,2197.946099,383.977007,54932.587663000006,3921.982575,36868.422575,13634.894809
DEU,Germany,2021,1190707.587634,212674.159538,5.0,617.3347049999999,58009.79158399999,4010.759334,49988.52693,17234.039373
